Date,E_BAL_I3_EU,E_BAL_I3_GER,E_BAL_I3_JAP,E_BAL_I3_UK,E_BAL_I3_US,E_BAL_P_EU,E_BAL_P_GER,E_BAL_P_JAP,E_BAL_P_UK,E_BAL_P_US,E_BAL_Y_EU,E_BAL_Y_GER,E_BAL_Y_JAP,E_BAL_Y_UK,E_BAL_Y_US
1992-06-01,NA,4.9,-51.2,-47.7,-69.2,NA,63.8,-89.1,-68.1,4.3,NA,-41,27.7,-31.6,58.7
1992-07-01,NA,60.2,-52.7,-54,-106.6,NA,-121.1,5.5,-75.4,6.5,NA,49.2,19.8,78.3,53.7
1992-08-01,NA,51.2,-53.3,45.3,-112.5,NA,-93.5,12.1,-81.2,2.8,NA,-58.9,-80.5,79.5,-45.4
1992-09-01,NA,31.2,-43,35.5,-129.2,NA,-87.1,5.1,-83.1,-14.5,NA,41.7,32.8,82.1,-164.2
1992-10-01,NA,-59.6,-56.7,-45.6,-131.8,NA,-50.8,-94.9,-79.8,-18.4,NA,-73.5,29.8,-33.5,-72.1
1992-11-01,NA,-62,-63.7,-43.4,-21.2,NA,-40.9,-96.8,-79.1,-19,NA,-96,13.4,48.8,-75.8
1992-12-01,NA,-50,-62.5,-48.6,-27.8,NA,-34.3,-100.1,-83.1,-23.1,NA,-103.2,-90.6,55.2,30.5
1993-01-01,NA,-71.3,-70.2,-55.3,-21.5,NA,-55.9,-102.5,-83.8,-21.4,NA,-94.4,-0.6,-21.3,49.6
1993-02-01,NA,-53.2,-71.9,-56.1,-30,NA,16.2,-1.5,-80.1,-13.7,NA,-63.2,113.2,-14.1,57.4
1993-03-01,NA,-15.9,-78.3,-60.4,-30.3,NA,-0.7,-102.1,-96.4,-22.1,NA,-67.9,-7.9,-102.6,60.3
1993-04-01,NA,-8.7,-76.8,-32.8,-42.6,NA,88,0,-18.8,-30.3,NA,-46.1,-0.9,-101.9,-35.8
1993-05-01,NA,-11.2,-84.4,-32.4,-154.2,NA,70.1,98.2,-13.8,-39.3,NA,-40.7,96.4,91.7,-57.4
1993-06-01,NA,-10.1,-78.7,-39.2,-57.6,NA,72.9,-1.7,-13.5,-33.3,NA,-37.8,97.9,77.3,-74.2
1993-07-01,NA,-3.7,-80,-41.1,-57.6,NA,13,102.7,-8.7,-32.8,NA,49.7,-2.7,63.8,-180.4
1993-08-01,NA,-5,-81.2,50.4,-45.6,NA,45.8,97,79.4,-34.4,NA,136.8,-5.7,-35.2,-176.8
1993-09-01,NA,-5,-85.4,52.9,-34.7,NA,56.5,100,88.6,-40.2,NA,129.4,-12.4,-38.7,-73.8
1993-10-01,NA,-2.8,-93.1,50.3,-33,NA,54.4,93.7,-17.3,-36.8,NA,124.1,-37,-46.2,-60.5
1993-11-01,NA,-4.3,-101.1,38.4,-43,NA,49.9,-10.2,-25.7,-46,NA,114,-46.9,-55.7,-51.5
1993-12-01,NA,-9.2,-93.8,-64.4,-54.5,NA,52.6,-7.6,-30.4,-47.1,NA,107.6,-42.8,41.6,-59
1994-01-01,NA,-5.6,-94.3,-67.8,-50.6,NA,-43.5,-109.3,-31.1,-42.4,NA,75.7,-36.5,39,43.1
1994-02-01,NA,-7.3,-77.4,-61.1,-38.6,NA,-38.8,-99.9,-26.5,-31.9,NA,73.2,-135.4,-60.7,-50.7
1994-03-01,NA,-7.4,-77,-65.2,67.5,NA,-29.6,0.9,-129,-26.5,NA,70.4,66.3,46,-49.2
1994-04-01,NA,-6,8.3,-64,65.7,NA,-20,-100.7,-130,-25.4,NA,68.9,72.7,49.1,47
